,indicator,country,countryiso3code,date,value
0,GDP per capita (current US$),Canada,CAN,2023,53431.1857063879
1,GDP per capita (current US$),Canada,CAN,2022,55509.393176404
2,GDP per capita (current US$),Canada,CAN,2021,52496.8441693242
3,GDP per capita (current US$),Japan,JPN,2023,33766.5268253808
4,GDP per capita (current US$),Japan,JPN,2022,34017.2718075024
5,GDP per capita (current US$),Japan,JPN,2021,40058.5373276179
6,GDP per capita (current US$),Mexico,MEX,2023,13790.0243428344
7,GDP per capita (current US$),Mexico,MEX,2022,11385.4070757929
8,GDP per capita (current US$),Mexico,MEX,2021,10314.0506741437
9,GDP per capita (current US$),United States,USA,2023,82769.4122114216
10,GDP per capita (current US$),United States,USA,2022,78035.1753604212
11,GDP per capita (current US$),United States,USA,2021,71318.3073592183
